Star_ID,Name,X,Y
50099,HIP 50099,31,1047
52419,HIP 52419,204,1073
54463,HIP 54463,372,1068
56480,HIP 56480,522,1024
56561,HIP 56561,305,946
57291,Uklun,422,955
57363,HIP 57363,221,887
57936,HIP 57936,1051,1075
59196,HIP 59196,644,920
59199,Alchiba,1299,1027
59747,Imai,446,855
59803,Gienah,1490,1002
60260,Ginan,408,827
60644,Tupã,317,797
60718,Acrux,341,799
60823,HIP 60823,669,843
60965,Algorab,1523,916
61084,Gacrux,497,808
61174,HIP 61174,1533,903
61199,HIP 61199,106,745
61359,Kraz,1347,878
61585,HIP 61585,188,746
62322,HIP 62322,218,728
62434,Mimosa,438,745
64166,HIP 64166,1359,675
64962,HIP 64962,1356,618
65109,HIP 65109,1017,621
65474,Spica,1663,564
65936,HIP 65936,948,574
66047,Dofida,752,580
66657,HIP 66657,595,562
67464,HIP 67464,884,492
67472,HIP 67472,864,494
68282,HIP 68282,802,461
68702,Hadar,410,502
68895,HIP 68895,1243,356
68933,Menkent,1003,392
69415,HIP 69415,1223,323
69427,Kang,1655,254
69701,Syrma,1765,217
69974,Khambalia,1568,227
70306,HIP 70306,1200,269
70576,HIP 70576,765,344
70755,Elgafar,1855,118
71352,HIP 71352,834,284
71536,HIP 71536,655,320
71681,Toliman,373,395
71683,Rigil Kentaurus,373,395
71860,HIP 71860,700,290
71908,HIP 71908,267,418
72571,HIP 72571,1162,121
72622,Zubenelgenubi,1460,43
73714,Brachium,1207,27
74395,HIP 74395,546,211
74824,HIP 74824,379,260
74946,HIP 74946,140,366
75141,HIP 75141,804,66
75177,HIP 75177,908,23
75323,HIP 75323,359,248
76297,HIP 76297,766,9
76552,HIP 76552,727,11
77952,HIP 77952,215,212
79509,HIP 79509,377,30
82273,Atria,4,192
