star_id,star_name,constellation_id,ra,dec
98036,Alshain,Aql,298.82819162,6.40793311
97649,Altair,Aql,297.69450819,8.86738473
97278,Tarazed,Aql,296.56487586,10.61326857
95501,Almizan I,Aql,291.37396955,3.11457893
97804,Almizan II,Aql,298.11818215,1.00567818
99473,Almizan III,Aql,302.82610296,-0.82147572
93747,Okab,Aql,286.35255155,13.86370954
93244,Deneb al Okab Borealis,Aql,284.90578907,15.06847784
93805,Al Thalimain Prior,Aql,286.56229133,-4.88233451
677,Alpheratz,Peg,2.09653385,29.09082837
3092,,And,9.83165586,30.86122597
5447,Mirach,And,17.43249023,35.62083036
9640,Almach,And,30.97466207,42.32984825
4436,,And,14.18790714,38.49925521
3881,,And,12.45345727,41.07895471
116231,,Scl,353.24245046,-37.8183589
4577,,Scl,14.65144096,-29.35746422
115102,,Scl,349.70594515,-32.53183581
88714,,Ara,271.65782837,-50.09145456
85792,,Ara,262.96050685,-49.87598163
83081,,Ara,254.65512805,-55.9900554
82363,,Ara,252.44629781,-59.04131654
85727,,Ara,262.77490445,-60.68360659
85267,,Ara,261.34858239,-56.377688
85258,,Ara,261.32498802,-55.52982387
77853,,Lib,238.45615396,-16.72962213
76333,Zubenelhakrabi,Lib,233.88141411,-14.78955362
74785,Zubeneschamali,Lib,229.25196592,-9.38286665
72622,Zubenelgenubi,Lib,222.71990516,-16.04161027
73714,Brachium,Lib,226.01775826,-25.28185595
10324,Al Kaff al Jidhmah I,Cet,33.25004581,8.84675255
11484,Al Kaff al Jidhmah II,Cet,37.03965837,8.46008868
8102,Al Naymat II,Cet,26.02136459,-15.93955572
3419,Diphda,Cet,10.89678447,-17.98668407
1562,Deneb Kaitos Shemali,Cet,4.85701294,-8.82382954
5364,Dheneb,Cet,17.14693207,-10.18192793
6537,Al Naymat I,Cet,21.00604673,-8.18275392
8645,Baten Kaitos,Cet,27.8650443,-10.33494527
11345,Sadr al Kaitos I,Cet,36.4875514,-12.29045207
12390,Sadr al Kaitos III,Cet,39.89055078,-11.87158223
12770,Sadr al Kaitos IV,Cet,41.03064358,-13.85867601
11783,Sadr al Kaitos II,Cet,38.0219889,-15.24431882
10826,Mira,Cet,34.83661105,-2.97706076
12387,Al Kaff al Jidhmah III,Cet,39.87061789,0.32851674
12706,Kaffaljidhma,Cet,40.82551857,3.23617153
14135,Menkar,Cet,45.56991317,4.08992556
13954,Menkar,Cet,44.92873468,8.90740132
12828,Al Kaff al Jidhmah IV,Cet,41.23488946,10.11422043
12093,,Cet,38.96870387,5.59330143
13209,Bharani,Ari,42.49578916,27.26079044
9884,Hamal,Ari,31.79285751,23.46277747
8903,Sheratan,Ari,28.65978905,20.80829983
8832,Mesarthim,Ari,28.38235766,19.29409257
92175,,Sct,281.793656,-4.74782885
92202,,Sct,281.87073375,-5.70507079
92814,,Sct,283.67964698,-15.60302205
90595,,Sct,277.29938309,-14.56580464
91117,,Sct,278.8018241,-8.24330822
42515,,Pyx,130.02556915,-35.30830087
42828,,Pyx,130.89811459,-33.1864114
43409,,Pyx,132.6333805,-27.71005865
71795,,Boo,220.28716825,13.72833156
69673,Arcturus,Boo,213.91811408,19.18727046
72105,Izar,Boo,221.24687848,27.07417376
74666,Thiba,Boo,228.8754325,33.31510247
73555,Nekkar,Boo,225.48663804,40.39063698
71075,Seginus,Boo,218.01982423,38.30788378
71053,,Boo,217.95774099,30.37114492
67927,Muphrid,Boo,208.67131829,18.3985867
67459,,Boo,207.3695746,15.79780581
21060,,Cae,67.70874033,-44.95374346
21770,,Cae,70.14092924,-41.86357022
21861,,Cae,70.51435914,-37.14476605
40702,,Cha,124.63027823,-76.91998249
51839,,Cha,158.86757611,-78.60781362
60000,,Cha,184.58726675,-79.31226904
43103,Zubanah,Cnc,131.67430935,28.76000523
42806,Asellus Borealis,Cnc,130.82172117,21.46859618
40843,,Cnc,125.01613464,27.21862146
42911,Asellus Australis,Cnc,131.17129191,18.15486373
